,sku,units_sold,unit_price,title,average_discount
1267,XB1SXGambler,120,16.558333333333334,Gambler *LIMITED EDITION*,0.95
1268,XB1SXGhostCamo,30,12.75,Ghost Camo,0.4
1269,XB1SXHunterCamo,38,12.871052631578946,Hunter Camo,0.0
1270,XB1SXJokerGreenCamo,342,12.848203592814372,Joker Green Camo,0.95
1271,XB1SXMarineBlue,229,13.007522123893805,Marine Blue Camo,0.0
1272,XB1SXMentalAnarchy,382,13.684748010610079,Anarchy,0.09
1273,XB1SXMentalGraffiti,315,13.978662420382166,Mental Graffiti,0.13
1274,XB1SXMotorsport,214,12.897867298578198,Motorsport,0.13
1275,XB1SXNavyCamo,242,12.895147679324893,Navy Camo,0.05
1276,XB1SXNightvisionGreen,31,12.85,Nightvision Green Camo,0.0
1277,XB1SXPinkTaffyCamo,30,11.75,Pink Taffy Camo,0.95
1278,XB1SXPsychadelic,1210,12.896835443037975,Psychedelic,0.09
1279,XB1SXPurpleCamo,358,12.93583569405099,Purple Haze Camo,0.01
1280,XB1SXPurpleSkulls,215,12.864691943127962,Purple Skulls,0.26
1281,XB1SXRedDigitalCamo,113,13.003097345132742,Red Digital Camo,0.95
1282,XB1SXRedMotif,349,12.844428152492668,Red Motif,0.95
1283,XB1SXRedSkulls,287,12.886619718309857,Red Skulls,0.22
1284,XB1SXRideorDie,92,16.62391304347826,Ride or Die *LIMITED EDITION*,0.14
1285,XB1SXRoseDragon,650,14.571705426356589,Rose Dragon,0.01
1286,XB1SXShadowCamo,491,12.870668058455113,Shadow Camo,0.04
1287,XB1SXShowMeTheMoney,719,12.887052932761087,Show Me The Money!,0.07
1288,XB1SXSpacial,102,13.224509803921567,Spacial,0.36
1289,XB1SXStealthCamo,1,12.95,Stealth Camo,0.0
1290,XB1SXSubmarineBlue,2,14.95,Submarine Blue Camo,0.0
1291,XB1SXSubmarineCamo,74,12.797222222222222,Submarine Camo,0.0
1292,XB1SXSugarSkulls,98,12.929591836734692,Sugar Skulls,0.12
1293,XB1SXTacticalDigitalCamo,224,13.0631221719457,Tactical Digital Camo,0.12
1294,XB1SXTagLife,302,14.109322033898305,Tag Life,0.06
1295,XB1SXTieDye,957,13.931972428419934,Tie Dye,0.05
1296,XB1SXUltraPinkCamo,166,12.889759036144577,Ultra Camo,0.95
1297,XB1SXWhiteDigitalCamo,289,13.187410071942447,Snow Digital Camo,0.04
1298,XB1SXWhiteSkulls,205,12.866256157635467,White Skulls,0.0
